INSTNM,CITY,STATE,ADM_RATE,SATVR25,SATVR75,SATMT25,SATMT75,SAT_AVG_ALL,TUITIONFEE_IN,TUITIONFEE_OUT
Yeshivas Be'er Yitzchok,Elizabeth,NJ,0.65,NULL,NULL,NULL,NULL,NULL,10900,10900
Yeshiva Toras Chaim,Lakewood,NJ,0.8429,NULL,NULL,NULL,NULL,NULL,12250,12250
Talmudical Seminary of Bobov,Brooklyn,NY,0.84,NULL,NULL,NULL,NULL,NULL,10200,10200
Center for Allied Health Education,Brooklyn,NY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Monroe 2 Orleans BOCES-Center for Workforce Development,Rochester,NY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Aveda Fredric's Institute-Cincinnati,West Chester,OH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MyComputerCareer.edu-Columbus,Westerville,OH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
CDE Career Institute,Tannersville,PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Instituto Educativo Premier,Ponce,PR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Charleston School of Law,Charleston,SC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Elite College of Cosmetology,Lexington,TN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Manuel and Theresa's School of Hair Design-Bryan,Bryan,TX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southwest University at El Paso,El Paso,TX,NULL,NULL,NULL,NULL,NULL,NULL,16000,16000
Paul Mitchell the School-Austin,Austin,TX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Aveda Institute-Provo,Provo,UT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Dixie Technical College,Saint George,UT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Victoria's Academy of Cosmetology,Kennewick,WA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Inland Massage Institute,Spokane,WA,NULL,NULL,NULL,NULL,NULL,NULL,10375,10375
University of South Florida-Sarasota-Manatee,Sarasota,FL,0.2361,590,650,570,640,1261,5587,16501
Paul Mitchell the School-San Antonio,San Antonio,TX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
CEM College-Bayamon,Bayamn,PR,NULL,NULL,NULL,NULL,NULL,NULL,8616,8616
Bryant & Stratton College-Wauwatosa,Wauwatosa,WI,NULL,NULL,NULL,NULL,NULL,NULL,18398,18398
The Art Institute of Austin,Bastrop,TX,NULL,NULL,NULL,NULL,NULL,NULL,19354,19354
Remington College-Houston Southeast Campus,Webster,TX,NULL,NULL,NULL,NULL,NULL,NULL,14811,14811
Remington College-Shreveport Campus,Shreveport,LA,NULL,NULL,NULL,NULL,NULL,NULL,15642,15642
Jenny Lea Academy of Cosmetology,Johnson City,TN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Patrick Henry College,Purcellville,VA,0.856,645,740,540,670,1310,27922,27922
The Hair Academy,Bismarck,ND,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Ross Medical Education Center-New Baltimore,New Baltimore,MI,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Ross College-Sylvania,Sylvania,OH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Escuela De Troqueleria Y Herramentaje,Bayamon,PR,NULL,NULL,NULL,NULL,NULL,NULL,1040,1040
Fortis Institute-Nashville,Nashville,TN,NULL,NULL,NULL,NULL,NULL,NULL,16384,16384
ATA College-Cincinnati,Cincinnati,OH,NULL,NULL,NULL,NULL,NULL,NULL,13295,13295
Elite Welding Academy LLC,Cincinnati,OH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Galen College of Nursing-Cincinnati,Cincinnati,OH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Strayer University-North Carolina,Morrisville,NC,NULL,NULL,NULL,NULL,NULL,NULL,13515,13515
Strayer University-New Jersey,Cherry Hill,NJ,NULL,NULL,NULL,NULL,NULL,NULL,13515,13515
Ohio Media School-Columbus,Columbus,OH,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Ohio Medical Career College,Dayton,OH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
The King's College,New York,NY,0.4167,580,680,520,630,1219,37690,37690
Chamberlain University-Illinois,Addison,IL,1,NULL,NULL,NULL,NULL,NULL,19900,19900
Chamberlain University-Ohio,Columbus,OH,0.875,NULL,NULL,NULL,NULL,NULL,19375,19375
Chamberlain University-Arizona,Phoenix,AZ,1,NULL,NULL,NULL,NULL,NULL,19375,19375
Career Quest Learning Centers-Jackson,Jackson,MI,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bryan University,Rogers,AR,NULL,NULL,NULL,NULL,NULL,NULL,15433,15433
The Salon Professional Academy-Appleton,Appleton,WI,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Milan Institute of Cosmetology-Fairfield,Fairfield,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Milan Institute of Cosmetology-Reno,Reno,NV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Ottawa University-Online,Ottawa,KS,NULL,NULL,NULL,NULL,NULL,1017,12316,12316
Paul Mitchell the School-Esani,Roswell,GA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Institute of Production and Recording,Minneapolis,MN,NULL,NULL,NULL,NULL,NULL,NULL,19656,19656
Paul Mitchell the School-Birmingham,Hoover,AL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Taft University System,Lakewood,CO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Mayfield College,Cathedral City,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Academy of Esthetics and Cosmetology,San Fernando,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Borner's Barber College,Los Angeles,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Paul Mitchell the School-Pasadena,Pasadena,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
San Francisco Institute of Esthetics & Cosmetology Inc,San Francisco,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Laurus College,San Luis Obispo,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Healing Hands School of Holistic Health,Escondido,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Career Development Institute Inc,Los Angeles,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Auguste Escoffier School of Culinary Arts-Boulder,Boulder,CO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Aspen University,Denver,CO,NULL,NULL,NULL,NULL,NULL,NULL,3920,3920
Institute of Taoist Education and Acupuncture,Louisville,CO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
National Beauty College,Denver,CO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Denver College of Nursing,Denver,CO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cambridge College of Healthcare & Technology,Delray Beach,FL,NULL,NULL,NULL,NULL,NULL,NULL,14908,14908
Cozmo Beauty School,Bonita Springs,FL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Celebrity School of Beauty,Miami,FL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Paul Mitchell the School-Atlanta,Atlanta,GA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Evans Hairstyling College-Rexburg,Rexburg,ID,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Paul Mitchell the School-Rexburg,Rexburg,ID,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
University of Aesthetics & Cosmetology,Chicago,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
The University of Aesthetics & Cosmetology,Downers Grove,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Tricoci University of Beauty Culture-Chicago NW,Chicago,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Tricoci University of Beauty Culture-Glendale Heights,Glendale Heights,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Tricoci University of Beauty Culture-Peoria,Peoria,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Tricoci University of Beauty Culture-Rockford,Rockford,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Omega Studios' School of Applied Recording Arts & Sciences,Rockville,MD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
French Academy of Cosmetology,Spring Lake,MI,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Healing Arts Center,St. Louis,MO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Paul Mitchell the School-Springfield,Springfield,MO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Urshan Graduate School of Theology,Wentzville,MO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Mississippi Institute of Aesthetics Nails & Cosmetology,Clinton,MS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
College of Western Idaho,Nampa,ID,NULL,NULL,NULL,NULL,NULL,NULL,3336,7344
Aveda Institute-Chapel Hill,Chapel Hill,NC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Daoist Traditions College of Chinese Medical Arts,Asheville,NC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Total Image Beauty Academy,Union City,NJ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Jersey College,Teterboro,NJ,0.5421,NULL,NULL,NULL,NULL,NULL,NULL,NULL
American Institute of Medical Sciences & Education,Piscataway,NJ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Casal Institute of Nevada,Las Vegas,NV,0.79,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Career School of NY,Staten Island,NY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
John Paolo's Xtreme Beauty Institute-Goldwell Product Artistry,Ballston Spa,NY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Yeshiva of Machzikai Hadas,Brooklyn,NY,0.9099,NULL,NULL,NULL,NULL,NULL,10100,10100
Aveda Institute-Columbus,Columbus,OH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Paul Mitchell the School-Cincinnati,Cincinnati,OH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Hands on Therapy,Mesquite,TX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MediaTech Institute-Dallas,Dallas,TX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Aveda Arts & Sciences Institute-San Antonio,San Antonio,TX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Skin Science Institute,Sandy,UT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Pacific Northwest University of Health Sciences,Yakima,WA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
The Chicago School of Professional Psychology at Anaheim,Anaheim,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Fortis College-Dothan,Dothan,AL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Fortis Institute-Pensacola,Pensacola,FL,NULL,NULL,NULL,NULL,NULL,NULL,14127,14127
Fortis College-Montgomery,Montgomery,AL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Woodland Community College,Woodland,CA,NULL,NULL,NULL,NULL,NULL,NULL,1124,6380
Dorsey School of Business-Roseville Culinary Academy,Roseville,MI,NULL,NULL,NULL,NULL,NULL,NULL,21980,21980
Fortis Institute-Birmingham,Birmingham,AL,NULL,NULL,NULL,NULL,NULL,NULL,13326,13326
The Chicago School of Professional Psychology at Los Angeles,Los Angeles,CA,0.1304,NULL,NULL,NULL,NULL,NULL,21934,21934
Cardiac and Vascular Institute of Ultrasound,Mobile,AL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Studio Academy of Beauty,Chandler,AZ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
California Nurses Educational Institute,Palm Springs,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Paul Mitchell the School-Sacramento,Sacramento,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Providence Christian College,Pasadena,CA,0.4224,NULL,NULL,NULL,NULL,1120,31846,31846
Oxford Academy of Hair Design Inc,Seymour,CT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Institute of World Politics,Washington,DC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Pontifical John Paul II Institute for Studies on Marriage and Family,Washington,DC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Medical Institute of Palm Beach,Greenacres,FL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Oliver Finley Academy of Cosmetology,Boise,ID,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
National Career College,Panorama City,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Aveda Institute-Chicago,Chicago,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Tricoci University of Beauty Culture-Libertyville,Libertyville,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Tricoci University of Beauty Culture-Bridgeview,Bridgeview,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
The Temple-A Paul Mitchell Partner School,Frederick,MD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Center for Massage,Asheville,NC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Academy of Hair Design-Oklahoma City,Oklahoma City,OK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Liberty Junior College,Cayey,PR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Toni & Guy Hairdressing Academy-Cranston,Cranston,RI,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
South Texas Training Center,San Benito,TX,NULL,NULL,NULL,NULL,NULL,NULL,10695,10695
Columbia College,Vienna,VA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Vermont College of Fine Arts,Montpelier,VT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Advanced Welding Institute,South Burlington,VT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Paul Mitchell the School-Memphis,Memphis,TN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Pima Medical Institute-East Valley,Mesa,AZ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Paul Mitchell the School-Cleveland,Twinsburg,OH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Paul Mitchell the School-Columbus,Columbus,OH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Empire Beauty School-Lauderhill,Lauderhill,FL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Empire Beauty School-Spring Lake Park,Spring Lake Park,MN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MediaTech Institute-Houston,Houston,TX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Platt College-Miller-Motte-Raleigh,Raleigh,NC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Lamson Institute,San Antonio,TX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
College of Hair Design-East Campus,Lincoln,NE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Fortis College-Salt Lake City,Salt Lake City,UT,NULL,NULL,NULL,NULL,NULL,NULL,14537,14537
Polytechnic University of Puerto Rico-Miami,Miami,FL,NULL,NULL,NULL,NULL,NULL,NULL,12945,12945
Polytechnic University of Puerto Rico-Orlando,Orlando,FL,NULL,NULL,NULL,NULL,NULL,NULL,12630,12630
Ross Medical Education Center-Fort Wayne,Fort Wayne,IN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Ross Medical Education Center-Battle Creek,Battle Creek,MI,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Geisinger Commonwealth School of Medicine,Scranton,PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Josef's School of Hair Skin & Body-Fargo,Fargo,ND,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Northeast Technology Center-Claremore,Claremore,OK,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Platt College-McCann-Allentown,Allentown,PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Salon Success Academy-Fontana,Fontana,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Salon Success Academy-Redlands,Redlands,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Strayer University-West Virginia,Scott Depot,WV,NULL,NULL,NULL,NULL,NULL,NULL,13515,13515
Vanguard College of Cosmetology-Baton Rouge,Baton Rouge,LA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
South Texas Vocational Technical Institute-Brownsville,Brownsville,TX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Platt College-STVT-Corpus Christi,Corpus Christi,TX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
University of Minnesota-Rochester,Rochester,MN,0.6012,563,618,473,630,1333,12944,12944
Health And Style Institute,Greensboro,NC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
College of Business and Technology-Cutler Bay,Cutler Bay,FL,NULL,NULL,NULL,NULL,NULL,NULL,13052,13052
Capri Beauty College,New Lenox,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Milan Institute-Bakersfield,Bakersfield,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Homestead Schools,Torrance,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Carrington College-Las Vegas,Las Vegas,NV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Carrington College-Reno,Reno,NV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Chamberlain University-Florida,Jacksonville,FL,1,NULL,NULL,NULL,NULL,NULL,19375,19375
Remington College-Columbia Campus,Columbia,SC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Washington Barber College Inc,Little Rock,AR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
InterCoast Colleges-Rancho Cordova,Rancho Cordova,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Horizon University,Indianapolis,IN,NULL,NULL,NULL,NULL,NULL,NULL,9300,9300
San Diego Culinary Institute,La Mesa,CA,0.6852,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Beyond 21st Century Beauty Academy,Santa Fe Springs,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Academy for Jewish Religion-California,Los Angeles,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Angeles College,Los Angeles,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Angeles Institute,ARTESIA,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Paul Mitchell the School-Temecula,Temecula,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
TIGI Hairdressing Academy Guilford,Guilford,CT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
International Institute of Cosmetology,Wethersfield,CT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Florida School of Traditional Midwifery,Gainesville,FL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Emerald Coast Technical College,DeFuniak Springs,FL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Immokalee Technical College,Immokalee,FL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
American Academy of Cosmetology,Orange Park,FL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
University of Fort Lauderdale,Lauderhill,FL,NULL,NULL,NULL,NULL,NULL,NULL,9315,9315
Aviation Institute of Maintenance-Orlando,Casselberry,FL,NULL,NULL,NULL,NULL,NULL,NULL,16757,16757
Summit Salon Academy,Tampa,FL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Summit Salon Academy-Gainesville,Gainesville,FL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Tenaj Salon Institute,The Villages,FL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Profile Institute of Barber-Styling,Atlanta,GA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Keune Academy by 124,Lawrenceville,GA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Pacific Rim Christian University,Honolulu,HI,0.4722,NULL,NULL,NULL,NULL,NULL,11300,11300
Paul Mitchell the School-Twin Falls,TWIN FALLS,ID,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Ambria College of Nursing,Hoffman Estates,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Midwestern Career College,Chicago,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Paul Mitchell the School-Normal,Normal,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Innovations Design Academy,Canton,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Aveda Fredric's Institute-Indianapolis,Indianapolis,IN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Summit Salon Academy,Anderson,IN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Eric Fisher Academy,Wichita,KS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
My Le's Beauty College,Gretna,LA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Blackstone Valley Vocational Regional School District,Upton,MA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southern Worcester County Regional Vocational School District,Charlton,MA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
L'esprit Academy,Canton,MI,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Marketti Academy of Cosmetology,Waterford,MI,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
CenterPoint Massage & Shiatsu Therapy School & Clinic,Bloomington,MN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Avalon School of Cosmetology,Worthington,MN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
American Business and Technology University,St Joseph,MO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
City Vision University,Kansas City,MO,NULL,NULL,NULL,NULL,NULL,NULL,6000,6000
Bitterroot School of Cosmetology,Hamilton,MT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Montana Academy of Salons,Great Falls,MT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
National Career Institute,East Orange,NJ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Toni & Guy Hairdressing Academy-Albuquerque,Albuquerque,NM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
International Academy of Style,Reno,NV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EDP School,Brooklyn,NY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
New York Medical Career Training Center,Flushing,NY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Institute of Culinary Education,New York,NY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
The Salon Professional Academy-Tonawanda,Tonawanda,NY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Onondaga School of Therapeutic Massage-Syracuse,Syracuse,NY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Academy of Cosmetology and Esthetics NYC,Staten Island,NY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Four County Career Center,Archbold,OH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Summit Salon Academy-Perrysburg,Perrysburg,OH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Portland Actors Conservatory,Portland,OR,0.5556,NULL,NULL,NULL,NULL,NULL,11900,11900
Somerset County Technology Center,Somerset,PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Metro Beauty Academy,Allentown,PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Academy for Careers and Technology,Mullins,SC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Aiken School of Cosmetology and Barbering,Aiken,SC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Love Beauty School Inc,Manchester,TN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Houston International College Cardiotech Ultrasound School,Houston,TX,NULL,NULL,NULL,NULL,NULL,NULL,11200,11200
DuVall's School of Cosmetology,Bedford,TX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Advanced Beauty College,Irving,TX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Texas Beauty College,Haltom city,TX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Avenue Five Institute,Austin,TX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
The Salon Professional Academy-Lewisville,Lewisville,TX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Renaissance Academie,Provo,UT,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Antioch College AG,Hampton,VA,NULL,NULL,NULL,NULL,NULL,NULL,8420,8420
Institute of Advanced Medical Esthetics,Ashland,VA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Gary Manuel Aveda Institute,Seattle,WA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Northwest School of Wooden Boat Building,Port Hadlock,WA,NULL,NULL,NULL,NULL,NULL,NULL,16050,16050
The Salon Professional Academy-Onalaska,Onalaska,WI,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
West Coast University-Orange County,Anaheim,CA,NULL,NULL,NULL,NULL,NULL,NULL,26645,26645
West Coast University-Ontario,Ontario,CA,NULL,NULL,NULL,NULL,NULL,NULL,35110,35110
Midwest Technical Institute-East Peoria,East Peoria,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Paul Mitchell the School-Chicago,Chicago,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Dorsey School of Business-Waterford Pontiac,Pontiac,MI,NULL,NULL,NULL,NULL,NULL,NULL,21100,21100
Platt College-Miller-Motte-Fayetteville,Fayetteville,NC,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
European Massage Therapy School-Las Vegas,Las Vegas,NV,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Platt College-Miller-Motte Technical-Columbus,Columbus,GA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
The Art Institute of Virginia Beach,Virginia Beach,VA,NULL,NULL,NULL,NULL,NULL,NULL,19354,19354
Fortis College-Indianapolis,Indianapolis,IN,NULL,NULL,NULL,NULL,NULL,NULL,14674,14674
Empire Beauty School-E Memphis,Memphis,TN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Empire Beauty School-Nashville,Brentwood,TN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Empire Beauty School-Jackson,Jackson,TN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Empire Beauty School-Springfield,Springfield,PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Empire Beauty School-Paramus,Paramus,NJ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Empire Beauty School-Speedway,Speedway,IN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Empire Beauty School-Morrow,Morrow,GA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
